Name,PastPoints,Age
Brent Burns,226,1985
Victor Hedman,189,1990
Erik Karlsson,178,1990
John Carlson,175,1990
Torey Krug,163,1991
John Klingberg,161,1992
Keith Yandle,159,1986
Roman Josi,158,1990
Tyson Barrie,154,1991
Mark Giordano,151,1983
Morgan Rielly,151,1994
Drew Doughty,149,1989
Seth Jones,145,1994
Alex Pietrangelo,143,1990
Kristopher Letang,141,1987
Shayne Gostisbehere,141,1993
Ryan Suter,138,1985
Dougie Hamilton,133,1993
P.K. Subban,130,1989
Rasmus Ristolainen,129,1994
Zachary Werenski,128,1997
Dustin Byfuglien,128,1985
Oliver Ekman-Larsson,125,1991
Jake Gardiner,125,1990
Duncan Keith,125,1983
Jared Spurgeon,118,1989
Ryan McDonagh,117,1989
Jeff Petry,116,1987
Nick Leddy,114,1991
Ryan Ellis,111,1991
Jake Muzzin,107,1989
Kevin Shattenkirk,107,1989
Jacob Trouba,107,1994
Mathew Dumba,106,1994
Justin Faulk,103,1992
T.J. Brodie,102,1990
Mattias Ekholm,101,1990
Alex Goligoski,98,1985
Colton Parayko,98,1993
Ivan Provorov,97,1997
Aaron Ekblad,96,1996
Mike Green,95,1985
Jaccob Slavin,95,1994
Cam Fowler,94,1991
Damon Severson,94,1994
Noah Hanifin,94,1997
Matt Niskanen,93,1986
Dmitry Orlov,93,1991
Justin Schultz,93,1990
Brent Seabrook,93,1985
Shea Weber,91,1985
Alexander Edler,89,1986
Brady Skjei,89,1994
Oscar Klefbom,87,1993
Marc-Edouard Vlasic,85,1987
Colin Miller,83,1992
Nate Schmidt,83,1991
Alec Martinez,82,1987
Thomas Chabot,80,1997
Hampus Lindholm,79,1994
Darnell Nurse,78,1995
Esa Lindell,77,1994
Josh Morrissey,77,1995
Erik Gustafsson,76,1992
Shea Theodore,75,1995
Will Butcher,74,1995
Brandon Montour,73,1994
Sami Vatanen,73,1991
Tyler Myers,72,1990
Mikhail Sergachyov,72,1998
Michael Matheson,71,1994
Josh Manson,70,1991
Ryan Pulock,69,1994
Brett Pesce,68,1994
Zdeno Chara,67,1977
Erik Johnson,67,1988
Niklas Kronwall,67,1981
Nick Holden,66,1987
Jonas Brodin,64,1993
David Savard,63,1990
Ron Hainsey,63,1981
Nikita Zaitsev,63,1991
Dion Phaneuf,62,1985
Cody Ceci,62,1993
Justin Braun,62,1987
Ian Cole,61,1989
Johnny Boychuk,60,1984
Charlie McAvoy,60,1997
Vince Dunn,59,1996
Radko Gudas,59,1990
Troy Stecher,58,1994
Anton Strålman,57,1986
Jason Demers,56,1988
Brian Dumoulin,56,1991
Jakob Chychrun,54,1998
Jordie Benn,54,1987
Brenden Dillon,54,1990
John Moore,53,1990
Matthew Benning,53,1994
Adam Larsson,52,1992
Anthony Deangelo,52,1995
Ryan Murray,52,1993
Markus Nutivaara,51,1994
Andy Greene,51,1982
Deryk Engelland,51,1982
Calvin de Haan,51,1991
Michael Del Zotto,50,1990
Adam Pelech,50,1994
Braydon Coburn,50,1985
Olli Määttä,50,1994
Kris Russell,50,1987
Samuel Girard,50,1998
Derek Forbort,50,1992
Dylan Demelo,50,1993
Daniel Girardi,49,1984
Thomas Hickey,49,1989
Nathan Beaulieu,49,1992
Marco Scandella,48,1990
Andrew MacDonald,48,1986
Nick Jensen,48,1990
Jack Johnson,47,1987
Andrej Sekera,47,1986
Trevor Van Riemsdyk,46,1991
Jake McCabe,46,1993
Ben Chiarot,46,1991
Travis Sanheim,45,1996
Ben Hutton,45,1993
Dan Hamhuis,45,1982
Danny DeKeyser,44,1990
Nikita Zadorov,44,1995
Travis Hamonic,44,1990
Connor Murphy,44,1993
Rasmus Dahlin,44,2000
Mark Pysyk,44,1992
Trevor Daley,43,1983
Joel Edmundson,43,1993
Michal Kempny,43,1990
Scott Mayfield,40,1992
Neal Pionk,40,1995
Jay Bouwmeester,39,1983
Niklas Hjalmarsson,37,1987
Jamie Oleksiak,36,1992
Brad Hunt,36,1988
Andrei Markov,36,1978
Kevan Miller,36,1987
Brandon Manning,35,1990
Brayden McNabb,35,1991
Jordan Oesterle,35,1992
Francois Beauchemin,35,1980
Derrick Pouliot,34,1994
Tanner Pearson,111,1992
Chris Tierney,111,1994
Paul Byron,109,1989
Pierre-Luc Dubois,109,1998
Zach Hyman,109,1992
Frans Nielsen,109,1984
Timo Meier,108,1996
Derick Brassard,108,1987
Vladislav Namestnikov,107,1992
Josh Anderson,106,1994
Michael Ferland,106,1992
Valtteri Filppula,106,1984
Derek Ryan,105,1986
Nick Schmaltz,105,1996
James Neal,104,1987
Boone Jenner,104,1993
Milan Lucic,104,1988
Kevin Fiala,103,1996
Michael Frolík,103,1988
Jason Spezza,103,1983
Marcus Johansson,102,1990
Bryan Rust,101,1992
Pavel Buchnevich,101,1995
Carl Söderberg,100,1985
Bobby Ryan,100,1987
Henrik Sedin,100,1980
Ryan Strome,99,1993
Lars Eller,99,1989
Daniel Sedin,99,1980
Nico Hischier,99,1999
Mikkel Bødker,98,1989
Nick Bonino,97,1988
Brett Connolly,96,1992
Radek Faksa,96,1994
Andrew Shaw,96,1991
Tom Wilson,94,1994
Devin Shore,94,1994
Sam Gagner,94,1989
Connor Brown,93,1994
Michael Grabner,92,1987
Calle Järnkrok,92,1991
David Backes,91,1984
Jimmy Vesey,90,1993
Nick Bjugstad,89,1992
Oliver Bjorkstrand,89,1995
Alex Tuch,89,1996
Ryan Spooner,89,1992
Anthony Beauvillier,88,1997
Erik Haula,88,1991
Ryan Hartman,88,1994
