Name,PastPoints,Year
Frederik Andersen,107,1989
Devan Dubnyk,106,1986
Sergei Bobrovsky,115,1988
Martin Jones,101,1990
Connor Hellebuyck,104,1993
Carey Price,88,1987
Pekka Rinne,103,1982
Braden Holtby,108,1989
Cameron Talbot,84,1987
Henrik Lundqvist,75,1982
John Gibson,82,1993
Andrei Vasilevski,106,1994
Jake Allen,79,1990
Tuukka Rask,98,1987
Robin Lehner,62,1991
Mike Smith,67,1982
Craig Anderson,65,1981
Matt Murray,88,1994
Jacob Markström,61,1990
Marc-Andre Fleury,82,1984
Jim Howard,55,1984
Ben Bishop,71,1986
Cam Ward,65,1984
Petr Mrazek,55,1992
Jonathan Quick,57,1986
Cory Schneider,43,1986
Semyon Varlamov,50,1988
James Reimer,53,1988
Corey Crawford,62,1984
Jaroslav Halak,54,1985
Thomas Greiss,62,1986
Brian Elliott,60,1985
Roberto Luongo,53,1979
Carter Hutton,48,1985
Jonathan Bernier,49,1988
Keith Kinkaid,49,1989
Darcy Kuemper,47,1990
Ryan Miller,38,1980
Philipp Grubauer,46,1991
Kari Lehtonen,37,1983
Chad Johnson,30,1986
Anders Nilsson,31,1990
Antti Raanta,42,1989
Anton Khudobin,39,1986
Scott Darling,33,1988
Juuse Saros,38,1995
Antti Niemi,27,1983
Louis Domingue,39,1992
Mike Condon,24,1990
Aaron Dell,36,1989
Curtis McElhinney,39,1983
Steve Mason,31,1988
Peter Budaj,33,1982
Calvin Pickard,19,1992
David Rittich,35,1992
Joonas Korpisalo,25,1994
Michal Neuvirth,20,1988
Mikko Koskinen,25,1988
Alex Stalock,17,1987
Casey DeSmith,21,1991
Malcolm Subban,21,1993
Linus Ullmark,16,1993
Alexandar Georgiev,18,1996
Laurent Brossoit,20,1993
Michael Hutchinson,14,1990
Jack Campbell,12,1992
Anton Forsberg,10,1992
Jordan Binnington,24,1993
Al Montoya,12,1985
Carter Hart,16,1998
Tristan Jarry,14,1995
Pheonix Copley,16,1992
Eddie Läck,10,1988
Ondrej Pavelec,8,1987
Jean-Francois Berube,6,1991
Anthony Stolarz,6,1994
Mackenzie Blackwood,10,1996
Jared Coreau,5,1991
Garret Sparks,8,1993
Scott Wedgewood,5,1992
Collin Delia,7,1994
Charlie Lindgren,7,1993
Adin Hill,8,1996
Maxime Lagace,6,1993
Jeff Glass,3,1985
Mike McKenna,2,1983
Alex Lyon,4,1992
Jeff Zatkoff,2,1987
Jon Gillies,4,1994
Reto Berra,1,1987
Cal Petersen,5,1994
Samuel Montembeault,4,1996
Thatcher Demko,5,1995
Jeremy Smith,1,1989
Christopher Gibson,2,1992
Harri Säteri,4,1989
Zane McIntyre,0,1992
Jonas Gustavsson,1,1984
Andrew Hammond,0,1988
Richard Bachman,2,1987
